Set,zipcode,price_sold,zestimate,bedroom,bathroom,area,year,parking,lot,sold_date,price_list_f,date_list,price_list,tax,tax_assessment,walk,bike,school,heating_baseboard_dummy,heating_forced_water_dummy,heating_forced_air_dummy,heating_natural_gas_dummy,heating_other_dummy,heating_central_air_dummy,heating_gas_connected_dummy,cooling_central_air_dummy,cooling_ductless_dummy,cooling_window_units_dummy,cooling_wall_units_dummy,cooling_other_dummy,cooling_none_dummy,bedroom_6_plus,bathroom_6_plus
A,01754,549000.0,554000.0,3,2,1200.0,1975,4.0,0.57,2024-07-30,549000.0,2024-06-24,469900.0,7850.0,413800.0,12.0,33.0,6.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
A,01754,672000.0,672100.0,4,2,2408.0,1959,1.0,0.63,2024-09-17,672000.0,2024-07-08,649900.0,9126.0,481100.0,38.0,29.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,01775,1100000.0,1107400.0,3,3,3526.0,1956,2.0,0.9,2024-08-14,1100000.0,2024-06-18,1150000.0,12972.0,715500.0,24.0,38.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A,01775,730000.0,735100.0,3,2,2488.0,1965,2.0,0.93,2024-08-12,729000.0,2024-06-13,759000.0,8405.0,463600.0,27.0,3.0,8.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
A,01775,962224.0,966700.0,4,3,2970.0,1985,2.0,0.96,2024-08-27,962224.0,2024-07-11,949900.0,12327.0,679900.0,2.0,22.0,8.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A,01775,1450000.0,1450400.0,4,4,4948.0,2005,3.0,1.3,2024-09-13,1549000.0,2024-07-24,1549000.0,15532.0,856700.0,3.0,9.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A,01775,750000.0,753100.0,4,3,2104.0,1957,5.0,3.4,2024-08-30,750000.0,2024-06-06,789900.0,11427.0,11427.0,6.0,27.0,8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A,01780,355220.0,355400.0,5,3,4392.0,1910,3.0,2.25,2024-09-11,355220.0,2024-01-12,550000.0,6017.0,499300.0,10.0,25.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A,01923,850000.0,850900.0,4,2,2130.0,1962,1.0,0.26,2024-09-06,899000.0,2024-05-09,899000.0,6125.0,521300.0,53.0,45.0,5.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
A,01923,750000.0,750400.0,4,3,1833.0,1958,2.0,0.28,2024-09-04,699900.0,2024-08-05,699900.0,6098.0,519000.0,31.0,22.0,5.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
A,01923,620000.0,622500.0,4,1,1792.0,1960,1.0,0.35,2024-08-14,590000.0,2024-06-25,590000.0,5857.0,498500.0,66.0,44.0,5.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
A,01923,870000.0,870600.0,4,2,2220.0,1961,1.0,0.35,2024-08-26,839900.0,2024-07-08,839900.0,7360.0,626400.0,14.0,28.0,5.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
